127.0.0.1 - - [19/Sep/2022:08:56:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:57:00 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 500 2505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:57:01 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:32 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:46 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:52 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:54 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:55 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:56 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:56 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:57 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:58 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:59 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:59 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:08:59:59 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:00:00 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:21 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:22 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:23 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:24 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:25 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:25 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:26 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:32 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:35 +0700] "POST /Java5/BtMayTinh_.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:01:36 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate= HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:43 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate= HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:46 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2B HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:49 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:50 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=* HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:52 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2F HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:03:57 +0700] "GET /Java5/BtMayTinh_.jsp?a=7&b=6&calculate=%2F HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:47 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2B HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:48 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:49 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=* HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:50 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2F HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:54 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=- HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:04:55 +0700] "GET /Java5/BtMayTinh_.jsp?a=6&b=6&calculate=%2B HTTP/1.1" 200 619
