127.0.0.1 - - [03/Oct/2022:10:28:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/htsach.jsp HTTP/1.1" 200 3449
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/buynow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:13 +0700] "GET /Java5/b6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:14 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:15 +0700] "GET /Java5/dangnhap.jsp HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:15 +0700] "GET /Java5/style.css HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:17 +0700] "POST /Java5/ktdn.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:17 +0700] "GET /Java5/htsach.jsp HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/giohang.jsp?ms=s3&ts=C%C6%A1%20s%E1%BB%9F%20d%E1%BB%AF%20li%E1%BB%87u%203&gia=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/htgio.jsp HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/Content/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/Content/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/Hinhsanpham/TiengAnh01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:20 +0700] "GET /Java5/images/giohang.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:22 +0700] "GET /Java5/htsach.jsp?ml=toan HTTP/1.1" 200 3412
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:23 +0700] "GET /Java5/giohang.jsp?ms=s5&ts=Gi%E1%BA%A3i%20t%C3%ADch%202&gia=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:23 +0700] "GET /Java5/htgio.jsp HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:23 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:23 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:35 +0700] "GET /Java5/htgio.jsp?msx=all HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:35 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:35 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:37 +0700] "GET /Java5/htsach.jsp?ml=tin HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:39 +0700] "GET /Java5/giohang.jsp?ms=s3&ts=C%C6%A1%20s%E1%BB%9F%20d%E1%BB%AF%20li%E1%BB%87u%203&gia=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:39 +0700] "GET /Java5/htgio.jsp HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:39 +0700] "GET /Scripts/bootstrap.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:39 +0700] "GET /Scripts/jquery.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [03/Oct/2022:10:28:40 +0700] "GET /Java5/htsach.jsp?ml=ly HTTP/1.1" 200 3209
